Codigo,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,4,4,0,0,0,0,0,18,0,0,0,4,2,0,0,4,0,0,0,1,0,0,0,0,0,4,25,8,0,0,2,3,12,0,0,6,4,14,16,8,4,8,22,16,0,8,0,4,0,18,0,22,18,4,4,0,5,8,8,2,4,8,0,0,6,10,10,6,0,8,2,0,14,0,0,1,4,2
12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,1,0,1,3,3,1,3,0,3,1,1,1,4,1,0,3,2,3,2,1,3,2,3,4,1,1,2,3,0,4,2,0,0,0,2,1,2,0,4,0,1,6,0,0,6,1,1
13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,1,1,1,2,0,0,3,1,0,0,0,2,0,0,0,3,0,0,1,3,1,0,0,1,2,3,0,1,0,3,0,0,0,1,2,3,0,0,1,2,1,2,2,0,0,0,1,1,0,0,1,0,0,0,1,0,2,0,2,2,2,0,0,0,2,0,1,0,0,2,0,2,1,1,0,0,0,1,0,2,0,0,0,0,1
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,10,6,0,2,2,0,0,0,2,2,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,6,0,4,2,6,11,4,6,0,8,2,4,6,1,0,2,4,6,0,2,6,0,4,2,2,0,6,0,8,6,0,0,0,2,0,2,0,2,0,0,4,0,0,0,2,2,0,0,0,4,0,0,4,6,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,3,5,4,0,1,1,1,0,1,2,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,2,1,0,0,0,0,0,1,1,1,2,0,0,0,1,4,0,0,2,1,3
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,3,2,4,0,1,2,1,0,1,2,4,1,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,3,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,3,1,4
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,2,2,1,1,1,1,5,0,0,3,1,3,0,1,2,1,1,2,1,1,1,3,1,1,2,0,0,0,0,1,1,0,4,0,0,6,0,0,2,1,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,0,0,0,0,2,0,6,0,0,0,5,1,10,1,1,0,3,0,3,3,0,2,0,1,0,9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,2,6,3,2,2,1,0,3,0,0,0,0,1,2,3,0,0,4,4,4
19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,1,3,1,0,2,0,6,0,2,2,5,0,2,11,1,4,2,0,5,1,5,0,0,4,0,0,4,2,2,0,7,4,3,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,6,0,0,0,3,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,30,0,20,30,24,0,20,20,20,20,20,20,41,20,20,40,29,40,40,20,20,20,20,0,20,20,0,20,40,20,40,0,20,20,0,30,30,0,0,30,0,0,20,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,3,1,0,2,4,1,2,0,1,0,3,0,2,0,0,5,0,0,0,1,2,1,0,0,1,0,4,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,2,1,0,3,0,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,15,0,16,0,0,6,0,0,0,18,15,0,9,27,9,0,0,23,0,9,0,0,9,6,0,0,1,0,9,0,9,0,0,0,0,0,12,0,0,9,17,7,0,9,9,9,0,0,0,0,0,9,9,9,9,0,0,0,9,18,0,0,27,9,9
